Price incl. 19 % VAT - valid from 01.01.2021;PNC;GARDENA Part Number
4,25;576947701;00806-00.610.00
10,31;577193301;00806-00.703.00
17,54;576674501;00814-00.600.01
5,3;576674601;00814-00.600.06
4,57;576674801;00814-00.600.16
1,92;576675001;00814-00.600.26
1,62;577193801;00814-00.701.00
9,7;577194401;00814-00.702.00
4,5;520318401;00817-00.600.06
0,68;520318501;00817-00.600.14
2,68;520318701;00817-00.600.21
0,83;520318801;00817-00.600.28
2,08;520319201;00817-00.610.09
2,02;520319601;00817-00.625.01
3,47;520319801;00817-00.702.00
4,57;576446301;00822-00.600.11
10,34;576445801;00822-00.620.00
3,01;576446001;00822-00.630.00
17,49;520320001;00826-00.600.00
11,77;576447101;00828-00.600.01
2,24;576447201;00828-00.600.06
6,15;576447301;00828-00.600.11
3,84;520320101;00832-00.600.40
1,87;520320301;00832-00.702.00
1,8;523505001;00845-00.600.41
1,01;520320501;00845-00.600.45
2,34;520320601;00845-00.702.00
1,46;520320801;00845-00.704.00
5,72;520320901;00847-00.703.00
1,46;520321001;00853-00.001.17
2;520321101;00853-00.001.31
2,21;520321301;00853-00.001.46
12,11;520321401;00853-00.002.00
1,01;520321501;00853-00.002.09
2,26;520321601;00853-00.002.11
0,83;520321701;00853-00.002.16
13,79;520321901;00853-00.620.00
1,87;520322101;00853-00.704.00
3,47;520322201;00853-00.711.00
17,61;520322301;00864-00.600.01
5,13;520322401;00864-00.600.06
4,76;520322501;00864-00.600.16
4,49;520322601;00864-00.600.36
3;520322701;00864-00.600.41
1,7;520322801;00864-00.600.44
2,15;520322901;00864-00.600.46
1,12;520323001;00864-00.600.48
9,97;520323201;00864-00.702.00
6,18;520323301;00867-00.600.11
6,18;520323401;00867-00.600.16
3,61;576450401;00867-00.600.22
2,24;520323601;00867-00.600.56
4,58;520323701;00867-00.600.61
1,7;520323801;00867-00.600.62
1,73;520323901;00867-00.600.63
2,57;520324001;00867-00.600.64
1,96;520324101;00867-00.600.65
2;520324201;00867-00.600.68
2,53;520324301;00867-00.600.80
13,79;520324401;00867-00.610.00
1,36;520324501;00867-00.610.06
8,27;520324601;00867-00.614.00
5,31;520324801;00867-00.616.00
4,81;520324901;00867-00.700.00
12,39;577408401;00867-00.915.00
15,39;520325101;00867-01.600.06
2,07;520325201;00869-00.600.06
1,01;520325301;00871-00.000.22
1,01;520325401;00872-00.000.22
1,21;520325501;00875-00.600.06
1,67;520325601;00875-00.600.53
2,7;520325701;00875-00.600.64
10,28;520325801;00875-00.600.96
0,79;520325901;00875-00.601.58
4,75;520326101;00875-00.722.00
17,85;520326201;00875-00.725.00
8,52;520326301;00875-00.732.00
3,72;520326501;00879-00.610.00
1,94;520326701;00880-00.000.34
1,01;520326901;00881-00.001.07
1,01;520327001;00881-00.004.03
1,26;520327201;00882-00.000.39
1,43;520327301;00882-00.002.06
5,78;520327401;00882-00.002.15
0,68;520327501;00882-00.007.11
1,01;520327601;00882-00.007.12
3,12;520327701;00882-00.026.00
8,45;520327801;00884-00.610.00
23,78;520327901;00884-00.900.01
3,57;520328101;00884-00.900.05
12,28;520328201;00884-00.900.06
2,89;520328301;00884-00.900.07
13,64;520328401;00884-00.900.08
2,26;520328501;00884-00.900.09
2,25;520328601;00884-00.900.11
1,46;520328801;00884-00.900.13
4,63;520328901;00884-00.900.14
14,27;520329001;00884-00.900.15
3,47;520329101;00884-00.900.16
4,94;520329201;00884-00.900.17
2,88;520329301;00884-00.900.18
2,89;520329401;00884-00.900.19
3,89;520329501;00884-00.900.22
3,84;520329601;00884-00.900.23
3,08;520329701;00884-00.900.24
3,51;520329801;00884-00.900.25
3,93;520329901;00884-00.900.26
9,52;520330001;00884-00.900.27
4,56;520330101;00884-00.900.28
4,24;520330301;00884-00.900.30
40,91;520330401;00884-00.900.31
2,26;577720701;00884-00.900.32
2,89;593674701;00884-00.900.33
17,6;520330501;00884-00.901.00
24,13;520330601;00884-00.902.00
44,54;520330701;00884-00.903.00
13,79;520330801;00884-00.904.00
5,39;520331001;00884-00.906.00
25,24;577720901;00884-00.907.00
25,79;576447801;00892-00.600.01
5,4;576447901;00892-00.600.06
3,83;576448001;00892-00.600.11
2,44;520331201;00894-00.600.06
15,33;520331301;00894-00.701.00
24,79;520331401;00896-00.700.00
10,08;520331501;00897-00.701.00
29,24;520331601;00899-00.701.00
0,49;520331701;00900-00.101.06
2,36;520331801;00901-00.100.00
2,36;523523301;00902-00.100.00
2,37;520331901;00906-00.600.15
1,7;520332001;00910-00.600.03
1,17;520332101;00911-00.000.13
1,56;520332201;00912-00.000.06
4,89;520332301;00913-00.640.00
1,01;520332401;00913-00.680.01
4,97;520332501;00915-00.600.00
3,27;588653401;00924-00.500.00
2,44;592862401;00926-00.500.00
3,51;520332801;00928-00.000.00
3,31;520333001;00930-00.600.00
1,01;520333101;00937-00.000.12
1,01;520333401;00945-00.000.11
2,37;520333501;00948-00.000.09
1,7;520333601;00948-00.600.01
2,95;520333701;00948-00.600.06
2,95;520333901;00948-00.600.09
2,45;520334101;00949-00.001.13
1,95;520334201;00949-00.003.11
1,7;520334301;00949-00.010.00
13,79;520334401;00949-00.630.00
14,61;520334501;00949-00.702.00
4,07;520334601;00954-00.004.00
5,58;520334701;00954-00.102.12
1,12;520334801;00954-00.102.17
9,28;520334901;00954-00.221.00
2;520335001;00954-00.600.35
1,96;520335101;00954-00.600.51
15,82;520335201;00956-00.030.00
1,01;520335301;00956-00.032.06
10,35;520335401;00956-00.600.01
2,02;520335501;00956-00.600.06
2,02;520335601;00956-00.600.11
1,01;520335701;00957-00.002.07
3,72;520335801;00959-00.600.11
7,71;520336001;00959-00.740.00
3,06;520336101;00960-00.600.46
11,54;581475501;00960-00.711.00
11,83;520336301;00960-00.720.00
15,39;520336401;00960-00.730.00
5,31;520336501;00960-00.750.00
1,95;520336601;00960-00.799.00
1,01;520336801;00964-00.505.04
3,55;520336901;00964-00.640.00
4,07;520337001;00970-00.000.06
12,09;523560301;00976-00.600.00
1,49;520337201;00976-00.610.20
3,53;520337301;00976-00.620.00
1,01;520337401;00991-00.003.02
0,67;520337501;00991-00.600.31
1,3;520337701;00991-00.615.00
3,89;592948301;00991-00.720.00
11,72;520337901;00991-00.731.00
4,02;520338001;00995-00.600.06
3,57;520338101;00995-00.600.11
13,98;520338201;00995-00.702.00
2,37;520338301;01050-00.600.16
1,7;520338401;01120-00.000.01
1,8;520338501;01121-00.000.01
1,89;520338601;01122-00.000.01
1,8;589346901;01122-00.600.01
0,57;520338701;01131-00.000.01
7,09;520338801;01150-00.600.16
1,01;520338901;01150-00.600.23
1,01;520339001;01150-00.690.06
7,53;520339101;01152-00.715.00
15,85;520339301;01164-00.523.00
3,93;520339401;01164-00.600.01
2,95;520339501;01164-00.622.00
0,77;520339701;01169-00.600.39
0,83;520340001;01174-00.600.13
2,02;520340101;01174-00.610.03
1,82;520340201;01174-00.610.04
1,01;520340301;01174-00.610.05
0,83;520340401;01174-00.610.07
1,93;520340501;01174-00.610.08
0,77;520340601;01174-00.610.11
0,77;593806601;01174-00.610.12
2,02;520340701;01174-00.612.02
1,82;520340801;01174-00.612.03
4,72;525411201;01174-00.618.00
2,75;520341101;01174-00.630.00
1,79;520341201;01174-00.640.01
1,14;520341501;01182-00.600.02
1,01;520341601;01182-00.620.12
1,43;520341701;01182-00.620.13
3,4;520341901;01184-00.616.06
12,51;520342101;01187-00.625.00
4,57;520342401;01188-00.500.18
0,68;523601501;01188-00.500.19
2,48;520342501;01188-00.520.00
5,74;520342601;01188-00.530.00
1,01;520342701;01188-00.530.12
17,45;520342801;01188-00.703.00
9,97;520343101;01189-00.630.00
13,09;520343201;01189-00.640.00
9,72;596814001;01190-00.901.00
1,01;520343301;01192-00.600.01
5,75;577596501;01197-00.600.21
2,74;577597101;01197-00.600.51
8,27;577597201;01197-00.600.56
3,57;577597401;01197-00.600.66
2,94;577597801;01197-00.600.86
1,01;577700201;01197-00.600.95
13,77;577598201;01197-00.600.96
21,44;587535801;01197-00.701.00
29,32;578082001;01197-00.710.00
10,08;578103601;01197-00.720.00
4,62;579374701;01197-00.730.00
7,85;520343401;01198-00.600.06
7,46;520343501;01198-00.600.36
1,01;520343601;01198-00.600.41
1,33;520343701;01198-00.600.42
6,76;520343801;01198-00.610.00
14,3;520343901;01198-00.702.00
17,96;520344001;01198-00.703.00
12,78;520344101;01198-00.705.00
3,58;520344201;01198-00.721.00
1,73;520344301;01210-00.600.52
4,27;520344401;01210-00.600.61
0,83;520344501;01210-00.600.62
4,66;520344701;01229-00.600.22
1,01;520344801;01229-00.600.23
24,5;520345101;01240-00.600.06
2,69;520345201;01240-00.600.11
3;520345301;01240-00.600.16
2,67;520345401;01240-00.600.21
1,84;520345501;01240-00.600.26
1,3;520345601;01240-00.600.31
2,69;520345701;01240-00.600.36
2,49;520345801;01240-00.600.41
4,64;520345901;01240-00.600.42
46,17;520346001;01240-00.610.00
4,47;520346101;01240-00.615.00
44,87;520346201;01240-00.620.00
19,6;520346601;01241-00.600.06
3,9;520346901;01245-00.610.00
55,28;520347101;01251-00.500.00
1,3;520347201;01251-00.500.22
11,08;520347401;01251-00.500.31
24,48;520347501;01251-00.510.00
1,5;520347601;01251-00.540.00
10,97;520347701;01251-00.550.00
5,09;574725901;01251-00.560.00
1,96;523616201;01251-00.701.00
1,46;520347801;01252-00.500.01
2,51;520347901;01252-00.500.21
15,66;520348001;01252-00.500.26
2,08;520348101;01252-00.500.31
1,01;590191101;01252-00.500.40
4,72;520348301;01252-00.510.00
16,18;520348501;01254-00.720.00
5,43;520348701;01255-00.600.06
14,01;520348801;01255-00.600.11
1,73;520348901;01255-00.600.16
2,69;520349001;01255-00.600.21
6,01;520349101;01255-00.600.26
2,64;520349201;01255-00.600.30
2,45;520349301;01255-00.600.35
1,44;520349401;01255-00.600.40
19,11;510123101;01255-00.600.45
4,8;581077401;01255-00.620.00
44,24;581104501;01255-00.722.00
41,66;589596701;01265-00.610.00
5,65;520349601;01265-00.722.00
17,91;520349701;01266-00.600.01
12,14;520349801;01266-00.700.06
33,89;596349001;01275-00.510.00
1,08;520350101;01275-00.600.16
0,68;520350201;01275-00.600.20
2,24;520350301;01275-00.600.25
0,8;520350401;01275-00.600.68
0,8;520350501;01275-00.600.73
18,78;520350701;01275-00.900.01
1,62;520350801;01277-00.901.00
1,82;520350901;01278-00.600.02
18,94;520351001;01278-00.610.00
0,74;520351101;01280-00.600.26
5;520351201;01280-00.710.00
4,95;520351301;01281-00.710.00
4,95;520351401;01282-00.710.00
24,35;577994801;01283-00.900.01
6;577994901;01283-00.900.02
16,26;520351501;01290-00.600.01
12,83;520351601;01290-00.900.01
26,6;520351701;01291-00.600.01
40,26;520351801;01292-00.900.01
2,62;520351901;01295-00.600.01
98,15;520352001;01308-00.708.00
44,87;520352101;01308-00.900.01
0,74;523627301;01323-00.600.01
1,18;520352501;01324-00.600.01
1,05;520352601;01333-00.600.11
1,18;520352701;01335-00.600.01
1,05;520352801;01337-00.600.01
1,05;520352901;01337-00.600.11
0,74;520353001;01338-00.600.06
2,75;520353101;01353-00.600.26
1,75;520353201;01353-00.600.27
3,96;520353301;01354-00.600.06
3,01;520353401;01354-00.600.17
5,06;520353501;01354-00.600.21
1,01;520353601;01354-00.600.26
7,72;520353701;01354-00.600.41
6,66;520353901;01354-00.704.00
1,95;520354001;01354-00.707.00
2,76;520354101;01354-00.708.00
17,49;576247001;01355-00.725.00
1,01;520354201;01357-00.000.11
2,88;520354401;01375-00.600.01
21,18;520354501;01389-00.900.01
2,8;520354601;01389-00.900.02
1,64;520354701;01389-00.900.03
1,96;520354801;01389-00.900.04
2,86;520354901;01389-00.900.05
2,12;520355001;01389-00.900.06
7,65;520355101;01407-00.000.00
66,65;596546901;01407-00.510.00
66,65;520355201;01407-00.610.00
1,01;520356201;01413-00.600.50
1,01;520356801;01413-00.610.16
1,01;520357301;01413-00.650.04
3,9;520357501;01414-00.000.01
1,01;520357601;01418-00.002.16
16,23;520357701;01419-00.701.00
6,96;520357801;01419-00.702.00
2,39;520358201;01422-00.900.03
32,8;520358301;01422-00.900.04
1,12;520358401;01422-00.900.05
17,02;520358501;01422-00.900.06
10,9;520358601;01422-00.900.07
17,65;520358701;01422-00.900.08
1,95;520358801;01422-00.900.09
7,09;520358901;01422-00.900.12
8,37;520359001;01422-00.900.13
9,67;520359201;01422-00.900.15
1,12;520359801;01426-00.900.01
3,82;520360001;01426-00.900.03
1,33;520360101;01426-00.900.04
55,89;520360201;01426-00.900.05
17,92;520360301;01426-00.900.07
15,9;520360401;01426-00.900.08
21,66;520360501;01426-00.900.09
9,85;520360601;01426-00.900.10
7,65;520360701;01426-00.900.11
4,05;520360801;01426-00.900.12
1,8;520360901;01426-00.900.15
1,33;520361001;01426-00.900.17
0,83;520361501;01426-00.900.26
25,42;520361701;01426-00.900.30
4,38;520361901;01426-00.900.35
27,99;520362101;01428-00.900.03
21,81;520362201;01428-00.900.05
3,14;520362401;01429-00.900.01
2,89;520362501;01429-00.900.02
1,21;520362601;01429-00.900.03
52,76;520362701;01429-00.900.04
20,6;520362801;01429-00.900.05
17,02;520362901;01429-00.900.08
1,3;520363401;01430-00.000.32
1,01;520363601;01430-00.000.34
1,4;520364001;01430-00.000.50
1,01;520364401;01430-00.004.04
20,92;520365101;01431-00.900.01
27,56;520365201;01431-00.900.02
17,92;520365401;01432-00.900.01
50,55;520365701;01433-00.900.01
1,33;520365901;01433-00.900.03
1,79;520366001;01433-00.900.04
9,23;520366101;01433-00.900.07
23,35;520366201;01433-00.900.08
23,55;520366301;01433-00.900.09
14,65;520366401;01433-00.900.10
22,32;520366501;01433-00.900.11
20,17;520366701;01433-00.900.14
0,83;520366901;01433-00.900.20
9,89;520367001;01433-00.900.21
1,96;520367401;01434-00.900.04
6,09;520367501;01434-00.900.07
27,18;520367601;01434-00.900.08
1,95;520367701;01434-00.900.10
2,67;520367801;01434-00.900.11
3,12;520367901;01434-00.900.12
1,43;520368001;01434-00.900.13
9,59;520368101;01434-00.900.14
9,01;520368201;01434-00.900.15
20,53;520368901;01434-00.900.43
18,85;520369001;01434-00.900.47
7,01;575835301;01436-00.900.01
20,48;575835401;01436-00.900.02
1,3;575835501;01436-00.900.03
26,16;575835601;01436-00.900.04
2,15;575835801;01436-00.900.05
13,05;575835901;01436-00.900.06
3,83;575836001;01436-00.900.07
8,76;575836101;01436-00.900.08
43,1;575836401;01436-00.900.09
3,08;575836501;01436-00.900.10
2,36;575836601;01436-00.900.11
11,52;575836701;01436-00.900.12
3,28;575836801;01436-00.900.13
2,74;575836901;01436-00.900.14
12,8;575837001;01436-00.900.15
12,8;575837101;01436-00.900.16
11,38;575837201;01436-00.900.17
1,01;575837301;01436-00.900.18
5,99;575837401;01436-00.900.19
5,62;575837501;01436-00.900.20
11,66;575837701;01436-00.900.22
1,01;575837801;01436-00.900.23
28,36;575837901;01436-00.900.24
9,53;575838001;01436-00.900.25
14,95;575838101;01436-00.900.26
18,45;575838201;01436-00.900.27
1,92;575838301;01436-00.900.28
2,56;575838401;01436-00.900.29
35,51;575838501;01436-00.900.30
3,74;575838601;01436-00.900.31
3,12;575838701;01436-00.900.32
9,95;575838801;01436-00.900.33
1,33;577721001;01436-00.900.34
1,63;577721101;01436-00.900.35
5,88;585542101;01436-00.900.36
1,49;520369501;01437-00.900.06
1,33;520369601;01437-00.900.07
84,26;520369801;01437-00.900.11
40,1;520369901;01438-00.900.03
20,86;520370101;01438-00.900.09
21,97;520370201;01438-00.900.10
23;520370301;01438-00.900.11
29,1;520370401;01438-00.900.14
3,64;520370501;01438-00.900.22
18,08;520370601;01438-00.900.23
1,33;520370701;01438-00.900.24
26,69;520370801;01442-00.900.01
15,66;520371101;01442-00.900.04
2,15;520371501;01449-00.900.11
11,75;520371601;01449-00.900.13
2,89;520371701;01449-00.900.15
31,13;520371801;01449-00.900.16
1,14;520371901;01449-00.900.17
5,4;520372001;01449-00.900.19
13,44;520372201;01453-00.900.03
1,32;525559701;01461-00.900.01
1,33;525559801;01461-00.900.02
1,21;525560001;01461-00.900.03
7,7;525560201;01461-00.900.04
2,67;525560301;01461-00.900.05
9,85;525560401;01461-00.900.06
11,33;525560601;01461-00.900.07
1,21;525560701;01461-00.900.08
11,15;525560801;01461-00.900.09
1,43;525561001;01461-00.900.10
14,39;525561201;01461-00.900.11
13,38;525561301;01461-00.900.12
8,43;525561401;01461-00.900.13
1,33;525561501;01461-00.900.14
1,68;525561701;01461-00.900.16
5,45;525561801;01461-00.900.17
17,59;525561901;01461-00.900.18
1,43;525562001;01461-00.900.19
1,63;525562101;01461-00.900.20
25,23;520373001;01466-00.620.00
7,95;520373201;01466-00.900.01
5,57;520373301;01466-00.900.02
13,85;520373701;01466-00.900.06
29,31;520373801;01466-00.900.07
2,37;520373901;01466-00.900.12
1,95;581149101;01468-00.900.01
19,28;581149201;01468-00.900.02
4,62;520374101;01469-00.900.01
1,21;520374201;01469-00.900.04
3,2;520374301;01469-00.900.10
2,15;520374401;01469-00.900.11
1,45;520374501;01469-00.900.12
4,33;520374601;01469-00.900.16
14,8;520374701;01469-00.900.17
1,95;520374801;01469-00.900.18
13,28;520374901;01469-00.900.19
9,07;520375001;01469-00.900.20
1,49;520375101;01469-00.900.21
23,45;520375301;01469-00.900.24
33,97;520375401;01471-00.900.01
2,13;520375501;01471-00.900.04
19,15;520375901;01474-00.600.01
22,91;520376001;01474-00.900.01
10,36;520376101;01474-00.900.05
8,88;522771901;01476-00.900.01
2,15;522772101;01476-00.900.03
31,33;522772201;01476-00.900.04
1,63;522772701;01476-00.900.07
13,65;522773001;01476-00.900.08
14,28;522773101;01476-00.900.09
9,01;522773201;01476-00.900.10
21,63;522773301;01476-00.900.11
6,77;522773401;01476-00.900.12
16,98;522773501;01476-00.900.13
6,06;575524401;01476-00.900.14
21,65;581445801;01476-00.900.20
30,48;581445901;01476-00.900.21
17,86;581446001;01476-00.900.22
1,79;581446101;01476-00.900.23
1,63;581446201;01476-00.900.24
13,92;581446301;01476-00.900.25
14,28;581446401;01476-00.900.26
9,44;581446501;01476-00.900.27
12,47;520376201;01478-00.610.00
21,22;520376501;01478-00.900.03
15,95;520376601;01478-00.900.04
14,29;520376801;01478-00.900.13
12,09;520376901;01478-00.900.14
4,24;575435801;01481-00.755.00
14,9;520377101;01481-00.900.01
2,75;520377201;01481-00.900.03
3,11;520377301;01481-00.900.04
3,21;520377501;01481-00.900.07
7,24;520377601;01481-00.900.08
3,62;520377801;01481-00.900.10
16,27;520377901;01481-00.900.11
3,13;520378001;01481-00.900.13
2,89;520378101;01481-00.900.14
7,09;520378201;01481-00.900.15
9,63;520378301;01481-00.900.16
1,84;520378401;01481-00.900.17
5,21;520378501;01481-00.900.18
1,12;520378601;01481-00.900.19
4,12;520378701;01481-00.900.20
1,84;520378801;01481-00.900.21
4,51;520378901;01481-00.900.22
1,12;520379001;01481-00.900.25
19,54;520379301;01481-00.900.30
31,52;520379401;01481-00.900.31
7,89;520379501;01481-00.900.33
7,6;520379601;01481-00.900.37
33,02;585661301;01481-00.900.38
18,06;520379801;01481-00.900.41
4,64;520380001;01481-00.900.44
5,43;520380201;01481-00.900.46
25,55;520380301;01481-00.900.47
0,83;520380401;01481-00.900.48
4,25;520380501;01481-00.900.49
3,59;520380601;01481-00.900.50
90,44;520380801;01481-00.900.52
27,51;520380901;01481-00.900.53
81,32;574691001;01481-00.900.60
27,35;574691201;01481-00.900.61
90,44;574691301;01481-00.900.62
108,53;574691501;01481-00.911.00
24;520381301;01483-00.900.01
24,93;520381401;01483-00.900.02
14,91;520381701;01485-00.900.07
20,18;520381801;01485-00.900.08
21,02;520381901;01485-00.900.09
11,4;520382201;01487-00.900.01
2,78;520382301;01487-00.900.02
11,82;520382401;01487-00.900.04
2,07;520382501;01487-00.900.09
3,83;520382601;01487-00.900.10
1,7;520382701;01487-00.900.11
37,66;520382801;01487-00.900.12
17,31;520383001;01487-00.900.14
25,5;520383101;01487-00.900.15
1,84;520383201;01487-00.900.17
128,22;520383301;01487-00.901.00
4,71;576266701;01489-00.900.01
1,7;576266801;01489-00.900.02
8,68;576266901;01489-00.900.03
12,8;576267001;01489-00.900.04
5,68;576267101;01489-00.900.05
1,33;576267301;01489-00.900.06
24,37;576267401;01489-00.900.07
2,13;576267501;01489-00.900.08
1,21;576267601;01489-00.900.09
28,08;576267701;01489-00.900.10
1,7;576267801;01489-00.900.11
18,68;576267901;01489-00.900.12
24,74;588946501;01489-00.900.13
8,57;501448201;01489-00.900.15
12,7;501448301;01489-00.900.16
1,7;501448401;01489-00.900.17
8,78;501448501;01489-00.900.18
12,59;501448601;01489-00.900.19
10,06;520383401;01490-00.001.11
1,21;520383601;01490-00.001.18
78,46;520384601;01494-00.701.00
50,68;520384801;01494-00.900.04
10,67;520384901;01494-00.900.05
9,44;520385001;01494-00.900.06
15,02;520385201;01494-00.900.08
4,01;520385501;01494-00.900.11
2,15;579092001;01499-00.900.01
7,66;579091901;01499-00.900.02
1,01;579092101;01499-00.900.03
21,56;579092301;01499-00.900.05
1,01;579092401;01499-00.900.06
5,27;520387801;01508-00.600.01
13,02;520387901;01510-00.600.01
2,8;520388001;01511-00.000.00
2,92;520388301;01512-00.799.00
2,28;520388401;01515-00.000.01
2,61;520388501;01516-00.600.01
2,76;520388601;01517-00.600.01
2,88;520388701;01518-00.600.01
3,09;520388801;01519-00.600.01
2,86;520388901;01525-00.000.06
2,82;520389001;01527-00.600.01
2,07;520389201;01531-00.600.11
6,84;520389301;01533-00.600.11
2,17;520389401;01533-00.610.11
1,64;520389701;01536-00.600.17
1,5;520389801;01536-00.600.31
1,88;520389901;01536-00.600.36
2,45;520390001;01536-00.600.37
3,47;520390101;01536-00.600.38
11,78;520390201;01536-00.788.00
17,96;520390301;01536-00.799.00
6,21;523683801;01538-00.500.16
2,12;523684001;01538-00.500.22
1,01;520390401;01538-00.600.66
3,5;520390501;01538-00.620.00
5,18;520390601;01538-00.788.00
2,67;520390801;01540-00.600.37
3,09;520391001;01544-00.600.01
1,57;520391101;01544-00.600.06
0,67;520391301;01544-00.600.43
1,33;520391401;01544-00.600.44
2,2;520391501;01544-00.600.45
1,14;520391601;01544-00.600.50
1,01;520391701;01544-00.600.52
2,28;520391801;01544-00.600.65
2,64;520391901;01544-00.600.70
4,51;520392001;01544-00.620.00
2,28;520392201;01546-00.600.11
7,04;520392301;01546-00.600.24
2,31;520392401;01546-00.600.45
2,06;520392501;01546-00.600.50
1,01;520392601;01546-00.600.67
7,01;520392701;01546-00.600.69
1,33;520392801;01546-00.600.70
3,22;520393301;01547-00.600.06
2,24;520393401;01548-00.600.26
2,24;520393601;01548-00.600.36
2,45;520393701;01548-00.704.00
1,01;520393901;01550-00.000.11
1,01;520394001;01550-00.000.17
8,14;520394101;01550-00.500.01
2,08;520394201;01550-00.500.06
7,69;523692801;01550-00.500.11
5,27;520394401;01550-00.600.51
1,01;520394501;01550-00.600.63
0,74;520394601;01550-00.600.65
1,44;520394701;01550-00.600.73
4,89;520394801;01550-00.610.00
19,33;574584901;01551-00.713.00
4,77;520395001;01552-00.610.00
4,77;520395101;01553-00.610.00
4,59;520395201;01554-00.610.00
4,59;520395301;01555-00.610.00
3,52;585569801;01559-00.600.37
3,55;523697301;01559-00.600.46
5,99;523698301;01559-00.600.73
4,39;523698401;01559-00.600.78
2,61;520395501;01559-00.600.84
3,36;520395801;01559-00.630.11
32,26;582245001;01559-00.631.00
39,71;520395901;01559-00.670.00
5,31;520396001;01559-00.670.06
11,95;575959501;01559-00.702.00
6,14;520396101;01559-00.760.00
181,14;520396301;01559-00.799.00
5,12;520396401;01560-00.600.00
5,12;520396601;01562-00.600.00
5,12;520396701;01564-00.600.00
3,57;520396801;01566-00.600.06
4,43;525723901;01569-00.630.00
1,44;520397001;01570-00.600.16
2,23;520397101;01570-00.600.37
5,12;520397301;01570-00.710.00
2,31;520397401;01570-00.714.00
0,74;520397501;01570-00.722.00
2,24;520397601;01570-00.724.00
4,77;520397701;01571-00.710.00
4,77;520397801;01573-00.710.00
2,24;520397901;01574-00.900.01
4,3;520398001;01574-00.900.02
4,8;520398101;01574-00.900.03
2,59;520398201;01574-00.900.04
1,5;520398301;01574-00.900.05
5,7;520398401;01575-00.711.00
4,37;523711901;01579-00.600.02
1,04;520398501;01579-00.600.06
1,5;520398601;01579-00.600.11
2,28;520398801;01591-00.711.00
3,99;520398901;01593-00.600.06
5,4;520399001;01594-00.600.06
1,32;520399201;01594-00.600.11
5,53;520399301;01594-00.600.46
5,53;520399401;01594-00.600.47
1,62;520399501;01594-00.600.51
13,79;520399801;01597-00.610.00
1,01;520399901;01597-00.610.06
2,07;520400101;01599-00.600.01
1,44;520400201;01599-00.600.12
0,68;520400301;01599-00.600.17
66,1;520400601;01599-00.690.00
1,12;520400901;01620-00.619.07
0,83;520401101;01625-00.600.16
20,6;520401201;01627-00.612.00
1,01;520401301;01660-00.600.11
0,83;582761501;01661-00.600.13
2,17;582227701;01661-00.600.36
2,14;582227401;01661-00.600.41
2,17;582227501;01661-00.600.46
1,8;590876701;01661-00.600.47
2,48;582227601;01661-00.600.51
8,95;582228201;01661-00.600.61
1,27;582194301;01661-00.620.01
1,98;582195001;01661-00.620.11
11,64;582194901;01661-00.620.21
22;582228301;01661-00.620.26
4,49;590154601;01661-00.901.00
3;590154701;01661-00.902.00
29,13;590154801;01661-00.903.00
4,53;582194101;01665-00.610.01
22,91;582193901;01665-00.610.06
33,47;590154901;01665-00.901.00
1,01;520401401;01670-00.600.06
1,01;520401601;01670-00.600.24
1,5;520401701;01670-00.600.25
3,4;520401801;01670-00.613.00
5;520401901;01670-00.702.00
1,01;520402001;01672-00.600.11
0,86;520402101;01685-00.600.13
17,85;520402801;01704-00.900.05
17,97;520403101;01706-00.900.02
19,02;520403401;01706-00.900.05
1,92;578459201;01707-00.900.01
31,89;578459301;01707-00.900.02
1,01;578459701;01707-00.900.03
3,26;578459901;01707-00.900.04
1,01;578460101;01707-00.900.05
17,45;578460201;01707-00.900.06
11,17;578460301;01707-00.900.07
16,17;578460401;01707-00.900.08
13,54;578463101;01707-00.900.09
0,68;578460701;01707-00.900.10
12,82;578460801;01707-00.900.11
13,03;578460901;01707-00.900.12
7,19;578461001;01707-00.900.13
7,85;578461201;01707-00.900.15
0,83;578461301;01707-00.900.16
1,94;578461401;01707-00.900.17
17,52;578461501;01707-00.900.18
1,89;578461701;01707-00.900.19
5,91;578461801;01707-00.900.20
2,64;588132701;01707-00.900.21
16,41;520403601;01708-00.900.01
34,03;578461901;01709-00.900.01
18,18;578462101;01709-00.900.03
12,82;578462201;01709-00.900.04
13,02;578462401;01709-00.900.05
7,85;578462501;01709-00.900.06
7;578462601;01709-00.900.07
1,95;520404301;01724-00.600.07
3,53;520404401;01724-00.600.11
3,89;520404601;01726-00.600.02
4,02;520404801;01727-00.600.02
42,64;520404901;01730-00.900.01
31,59;520405001;01730-00.900.02
34;520405101;01731-00.900.01
34,43;520405201;01731-00.900.02
1,93;520405301;01731-00.900.03
1,94;520405401;01731-00.900.04
14,82;520405501;01731-00.900.05
5,64;520405601;01731-00.900.06
1,79;520405701;01731-00.900.07
7,33;520405801;01731-00.901.00
3,53;578462801;01732-00.900.01
2,48;578462901;01732-00.900.02
3,86;578468001;01732-00.900.04
6,77;578468201;01732-00.900.06
9,64;579219401;01732-00.900.07
19,86;578468601;01732-00.900.12
24,86;578468701;01732-00.900.13
7,33;578468801;01732-00.900.14
25,51;578468901;01732-00.900.15
7,69;578469001;01732-00.900.17
15,22;578469101;01732-00.900.18
21,13;578469201;01732-00.900.19
7,21;578469301;01732-00.900.20
1,01;578469401;01732-00.900.21
3,07;578469501;01732-00.900.22
