Price incl. 19 % VAT - valid from 01.01.2021;PNC;GARDENA Part Number
5,8;577988667;00057-79.886.67
78,98;578211701;00057-82.117.01
100,33;578211801;00057-82.118.01
62,32;578275103;00057-82.751.03
36,83;578275201;00057-82.752.01
4,71;578445201;00057-84.452.01
26,48;578891568;00057-88.915.68
17,83;578906267;00057-89.062.67
67,24;578906903;00057-89.069.03
3,77;578909105;00057-89.091.05
26,72;579145901;00057-91.459.01
1,84;579177401;00057-91.774.01
1,32;579177501;00057-91.775.01
14,66;579300901;00057-93.009.01
51,04;579375301;00057-93.753.01
181,08;579391701;00057-93.917.01
133,52;579391702;00057-93.917.02
49,79;579391903;00057-93.919.03
15,57;579392105;00057-93.921.05
9,08;579392201;00057-93.922.01
17,99;579418901;00057-94.189.01
15,53;579419801;00057-94.198.01
25,06;579420001;00057-94.200.01
22,69;579420101;00057-94.201.01
18,84;579420201;00057-94.202.01
38,53;579420301;00057-94.203.01
2,31;579443701;00057-94.437.01
14,14;579458004;00057-94.580.04
7,16;579459801;00057-94.598.01
6,14;579459901;00057-94.599.01
2,15;579460501;00057-94.605.01
4,21;579462402;00057-94.624.02
9,12;579474601;00057-94.746.01
1,49;579525701;00057-95.257.01
0,5;579529401;00057-95.294.01
97,29;579657501;00057-96.575.01
1,24;579684101;00057-96.841.01
1,65;579684201;00057-96.842.01
1,65;579684301;00057-96.843.01
7,66;579684501;00057-96.845.01
2,65;579684601;00057-96.846.01
3,01;579684701;00057-96.847.01
3,62;579684901;00057-96.849.01
1,27;579685101;00057-96.851.01
1,12;579685201;00057-96.852.01
3,31;579685601;00057-96.856.01
2,92;579685701;00057-96.857.01
1,42;579685801;00057-96.858.01
31,13;579685901;00057-96.859.01
1,65;579686001;00057-96.860.01
2,65;579686101;00057-96.861.01
146,41;579686201;00057-96.862.01
1,07;579686301;00057-96.863.01
95,85;579686401;00057-96.864.01
1,49;579686501;00057-96.865.01
3,18;579686801;00057-96.868.01
3,44;579686901;00057-96.869.01
2,23;579687001;00057-96.870.01
2,01;579687901;00057-96.879.01
1,65;579688701;00057-96.887.01
8,83;579708201;00057-97.082.01
9,02;579708601;00057-97.086.01
29,45;579708701;00057-97.087.01
10,57;579758301;00057-97.583.01
44,51;579825101;00057-98.251.01
28,02;579825102;00057-98.251.02
16,48;579825103;00057-98.251.03
19,78;579825104;00057-98.251.04
3,9;579839101;00057-98.391.01
3,9;579839401;00057-98.394.01
2,8;580445101;00058-04.451.01
4,2;580487101;00058-04.871.01
7,31;580504101;00058-05.041.01
2,23;580511401;00058-05.114.01
0,95;580526701;00058-05.267.01
2,37;580526801;00058-05.268.01
0,65;580682901;00058-06.829.01
13,47;580792701;00058-07.927.01
14,66;580792802;00058-07.928.02
9,97;580793101;00058-07.931.01
4,52;580927601;00058-09.276.01
4,64;580928001;00058-09.280.01
8,06;581011701;00058-10.117.01
16,33;581020301;00058-10.203.01
83,66;581145103;00058-11.451.03
5,46;581165701;00058-11.657.01
28,02;581166605;00058-11.666.05
44,51;581166606;00058-11.666.06
24,54;581188910;00058-11.889.10
82,54;581217402;00058-12.174.02
100,33;581217502;00058-12.175.02
24,81;581217901;00058-12.179.01
4,08;581218067;00058-12.180.67
12;581218102;00058-12.181.02
2,31;581218203;00058-12.182.03
6,5;581218906;00058-12.189.06
42,99;581219402;00058-12.194.02
26,75;581219602;00058-12.196.02
27,12;581219702;00058-12.197.02
24,49;581220006;00058-12.200.06
24,49;581220106;00058-12.201.06
35,75;581220210;00058-12.202.10
32,4;581220410;00058-12.204.10
19,15;581220802;00058-12.208.02
36;581225903;00058-12.259.03
46,21;581257802;00058-12.578.02
67,24;581291203;00058-12.912.03
84,14;581551902;00058-15.519.02
79,47;581551903;00058-15.519.03
51,02;581620903;00058-16.209.03
7,31;581621202;00058-16.212.02
0,88;581842401;00058-18.424.01
15,36;581843001;00058-18.430.01
10,66;581966601;00058-19.666.01
36,16;582029202;00058-20.292.02
20,13;582192102;00058-21.921.02
40,65;582356401;00058-23.564.01
29,92;582381001;00058-23.810.01
6,94;582386101;00058-23.861.01
60,77;582784301;00058-27.843.01
46,4;582824001;00058-28.240.01
46,4;582824102;00058-28.241.02
58,61;582824501;00058-28.245.01
29,98;582824601;00058-28.246.01
11,58;582824901;00058-28.249.01
20,1;582844201;00058-28.442.01
30,73;582916501;00058-29.165.01
39,95;583791001;00058-37.910.01
15,86;583853902;00058-38.539.02
2,8;583951302;00058-39.513.02
67,24;584408801;00058-44.088.01
83,66;584408901;00058-44.089.01
40,5;584618301;00058-46.183.01
66,84;584618302;00058-46.183.02
0,44;584816903;00058-48.169.03
15,58;584882967;00058-48.829.67
35,97;584904801;00058-49.048.01
35,97;584904901;00058-49.049.01
22,48;584905001;00058-49.050.01
116,44;584989302;00058-49.893.02
35,97;585034801;00058-50.348.01
35,97;585034901;00058-50.349.01
22,48;585035001;00058-50.350.01
55,78;585071201;00058-50.712.01
27,16;585071401;00058-50.714.01
7,72;585186801;00058-51.868.01
7,72;585186901;00058-51.869.01
9,27;585187201;00058-51.872.01
4,33;585194801;00058-51.948.01
1,65;585196801;00058-51.968.01
9,51;585208501;00058-52.085.01
4,86;585214201;00058-52.142.01
30,8;585246702;00058-52.467.02
2,3;585255401;00058-52.554.01
19,49;585265301;00058-52.653.01
23,78;585265401;00058-52.654.01
5,68;585275701;00058-52.757.01
17,89;585323601;00058-53.236.01
11,6;585323801;00058-53.238.01
11,6;585323802;00058-53.238.02
9,63;585324003;00058-53.240.03
9,63;585324004;00058-53.240.04
8,96;585324101;00058-53.241.01
16,11;585324102;00058-53.241.02
1,73;585341501;00058-53.415.01
21,92;585341601;00058-53.416.01
10,4;585539001;00058-55.390.01
37,39;585539204;00058-55.392.04
41,14;585539502;00058-55.395.02
3,78;585919301;00058-59.193.01
3,15;586038901;00058-60.389.01
41,63;586103101;00058-61.031.01
6,66;586103201;00058-61.032.01
22,23;586103401;00058-61.034.01
96,97;586169701;00058-61.697.01
13,2;586169801;00058-61.698.01
21,13;586170001;00058-61.700.01
12,05;586170101;00058-61.701.01
97,63;586170201;00058-61.702.01
11,54;586170401;00058-61.704.01
16,49;586170501;00058-61.705.01
97,95;586170701;00058-61.707.01
16,49;586170801;00058-61.708.01
11,54;586171001;00058-61.710.01
23,37;586189001;00058-61.890.01
1,39;586189301;00058-61.893.01
5,94;586205501;00058-62.055.01
3,95;586210601;00058-62.106.01
26,32;586277901;00058-62.779.01
3,62;586342601;00058-63.426.01
2,7;586359701;00058-63.597.01
17,87;586395701;00058-63.957.01
23,49;586395801;00058-63.958.01
6,96;586400801;00058-64.008.01
14,45;586436801;00058-64.368.01
12,85;586436901;00058-64.369.01
8,25;586437001;00058-64.370.01
2,23;586437101;00058-64.371.01
23,72;586437201;00058-64.372.01
2;586437301;00058-64.373.01
34,08;586694201;00058-66.942.01
25,29;586694401;00058-66.944.01
8,37;586694601;00058-66.946.01
7,13;586694701;00058-66.947.01
4,71;586694801;00058-66.948.01
39,66;586945601;00058-69.456.01
39,66;586945602;00058-69.456.02
86,89;586993801;00058-69.938.01
4,64;587043501;00058-70.435.01
4,84;587043502;00058-70.435.02
7,26;587043503;00058-70.435.03
6,58;587125101;00058-71.251.01
16,51;587249601;00058-72.496.01
16,9;587448802;00058-74.488.02
58,96;587448902;00058-74.489.02
2,31;587449301;00058-74.493.01
160,1;587449404;00058-74.494.04
17,11;587651501;00058-76.515.01
80,03;587651602;00058-76.516.02
67,24;587797001;00058-77.970.01
200,25;587797106;00058-77.971.06
7,88;587805701;00058-78.057.01
4,57;587805801;00058-78.058.01
11,4;587806001;00058-78.060.01
252,42;587832902;00058-78.329.02
8,06;587878401;00058-78.784.01
3,19;587878501;00058-78.785.01
4,24;587909901;00058-79.099.01
3,63;587910901;00058-79.109.01
23,21;587911801;00058-79.118.01
1,27;587912601;00058-79.126.01
1,65;587912701;00058-79.127.01
5,15;587912901;00058-79.129.01
0,93;587913101;00058-79.131.01
1,27;587913401;00058-79.134.01
1,49;587914601;00058-79.146.01
2,88;587914901;00058-79.149.01
3,63;587915001;00058-79.150.01
3,05;587915101;00058-79.151.01
48,33;587916301;00058-79.163.01
56,06;587916401;00058-79.164.01
3,15;587917901;00058-79.179.01
6,03;587986501;00058-79.865.01
13,03;587986601;00058-79.866.01
14,28;587986602;00058-79.866.02
35,75;587986701;00058-79.867.01
35,44;587986702;00058-79.867.02
47,46;587986901;00058-79.869.01
47,7;587986902;00058-79.869.02
9,02;587987001;00058-79.870.01
14,14;587987201;00058-79.872.01
3,46;587987401;00058-79.874.01
16,51;587987601;00058-79.876.01
3,57;587992401;00058-79.924.01
40,82;588042601;00058-80.426.01
19,8;588124901;00058-81.249.01
0,98;588222101;00058-82.221.01
1,09;588222201;00058-82.222.01
39,95;588272801;00058-82.728.01
9,21;588407001;00058-84.070.01
73,46;588416101;00058-84.161.01
2,09;588470201;00058-84.702.01
29,92;588490302;00058-84.903.02
22,71;588797801;00058-87.978.01
16,23;588832701;00058-88.327.01
10,6;588901201;00058-89.012.01
18,34;589300801;00058-93.008.01
14,27;589346801;00058-93.468.01
10,17;589350701;00058-93.507.01
12,8;589350801;00058-93.508.01
17,42;589351001;00058-93.510.01
25,09;589351101;00058-93.511.01
85,57;589586101;00058-95.861.01
101,98;589586201;00058-95.862.01
17,92;589899701;00058-98.997.01
